A,B,C,D,E,F,G,Location
-58,-59,-59,-65,-65,-82,-94,1
-55,-53,-47,-57,-50,-85,-85,4
-53,-54,-54,-51,-61,-84,-77,3
-56,-54,-47,-59,-52,-84,-91,4
-63,-58,-59,-65,-74,-86,-84,1
-35,-60,-54,-35,-61,-81,-80,2
-42,-53,-50,-44,-71,-68,-64,2
-61,-59,-65,-63,-74,-89,-87,1
-18,-57,-63,-34,-72,-65,-75,2
-63,-48,-54,-65,-67,-82,-80,1
-62,-55,-61,-60,-63,-84,-80,1
-59,-50,-45,-60,-48,-83,-85,4
-52,-48,-56,-53,-62,-78,-81,3
-55,-50,-51,-61,-48,-82,-79,4
-56,-56,-62,-64,-70,-79,-86,1
-56,-51,-43,-59,-47,-83,-89,4
-65,-53,-53,-57,-64,-87,-80,1
-67,-55,-56,-64,-50,-88,-87,4
-61,-60,-53,-61,-52,-87,-87,4
-63,-59,-53,-70,-46,-86,-88,4
-38,-55,-57,-41,-66,-73,-69,2
-61,-55,-45,-55,-56,-85,-85,4
-63,-54,-53,-65,-52,-92,-89,4
-45,-59,-54,-51,-69,-77,-85,3
-57,-54,-51,-60,-47,-84,-88,4
-47,-55,-55,-49,-67,-85,-80,3
-60,-53,-48,-61,-46,-85,-85,4
-60,-53,-52,-62,-50,-91,-88,4
-16,-55,-56,-15,-64,-78,-76,2
-16,-59,-60,-35,-69,-81,-78,2
-39,-62,-58,-37,-69,-73,-72,2
-39,-56,-53,-49,-70,-80,-75,2
-35,-56,-52,-36,-72,-69,-67,2
-63,-56,-55,-60,-52,-86,-98,4
-48,-56,-55,-46,-65,-86,-79,3
-61,-53,-54,-58,-71,-82,-86,1
-66,-69,-63,-69,-79,-88,-86,1
-60,-59,-56,-63,-64,-82,-81,1
-58,-54,-52,-61,-74,-75,-82,1
-40,-56,-53,-50,-71,-79,-78,2
-56,-55,-45,-59,-52,-84,-86,4
-64,-55,-63,-66,-76,-88,-83,1
-58,-50,-54,-60,-53,-86,-89,4
-49,-53,-50,-48,-67,-78,-88,3
-40,-52,-50,-41,-64,-69,-66,2
-61,-57,-65,-59,-67,-86,-87,1
-52,-56,-52,-44,-63,-87,-84,3
-64,-54,-58,-69,-65,-86,-86,1
-40,-55,-47,-47,-64,-75,-79,2
-58,-53,-46,-59,-50,-86,-90,4
-66,-57,-59,-64,-69,-82,-84,1
-67,-56,-62,-70,-69,-86,-84,1
-34,-53,-56,-18,-70,-76,-75,2
-53,-47,-54,-53,-59,-83,-84,3
-50,-53,-52,-50,-61,-79,-83,3
-48,-59,-54,-55,-60,-84,-87,3
-60,-57,-55,-66,-69,-82,-89,1
-49,-56,-54,-55,-62,-78,-81,3
-58,-56,-51,-59,-65,-81,-84,1
-43,-55,-63,-37,-64,-67,-76,2
-60,-56,-56,-63,-65,-80,-83,1
-35,-56,-57,-34,-60,-73,-80,2
-64,-59,-51,-67,-43,-88,-92,4
-40,-53,-51,-37,-78,-73,-77,2
-45,-58,-55,-46,-69,-75,-73,2
-43,-55,-54,-47,-67,-77,-79,2
-40,-56,-56,-38,-66,-77,-74,2
-50,-54,-54,-54,-66,-77,-86,3
-61,-54,-60,-61,-74,-87,-83,1
-66,-59,-64,-67,-77,-87,-85,1
-53,-58,-51,-48,-63,-88,-80,3
-47,-58,-56,-44,-64,-80,-85,3
-38,-52,-54,-38,-64,-73,-77,2
-56,-53,-42,-61,-55,-87,-82,4
-61,-56,-49,-60,-52,-91,-85,4
-40,-52,-51,-45,-64,-70,-65,2
-54,-55,-52,-50,-58,-78,-86,3
-51,-54,-53,-55,-66,-77,-85,3
-65,-59,-65,-63,-68,-80,-83,1
-73,-62,-66,-65,-81,-87,-89,1
-40,-57,-51,-46,-65,-75,-79,2
-65,-58,-64,-69,-81,-88,-90,1
-36,-52,-59,-38,-64,-72,-74,2
-52,-57,-50,-52,-65,-79,-77,3
-51,-51,-54,-53,-59,-86,-85,3
-59,-52,-49,-55,-56,-83,-81,4
-50,-58,-51,-52,-60,-81,-79,3
-42,-54,-50,-45,-63,-68,-64,2
-48,-61,-58,-44,-75,-80,-89,2
-59,-51,-55,-59,-54,-87,-88,4
-41,-53,-56,-36,-62,-75,-77,2
-59,-53,-49,-59,-45,-89,-88,4
