STG	SCG	STR	LPR	PEG	UNS
0.51	0.4	0.4	0.59	0.23	Low
0.17	0.36	0.8	0.14	0.66	Middle
0.78	0.21	0.68	0.65	0.75	High
0.6	0.14	0.22	0.11	0.66	Middle
0.41	0.09	0.58	0.18	0.58	Middle
0.25	0.54	0.31	0.25	0.08	Very_Low
0.9	0.26	0.19	0.58	0.79	High
0.02	0.33	0.36	0.76	0.1	Low
0.31	0.15	0.58	0.76	0.52	Middle
0.42	0.7	0.72	0.3	0.8	High
0.19	0.38	0.38	0.49	0.45	Low
0.48	0.12	0.28	0.7	0.71	High
0.68	0.63	0.65	0.09	0.66	Middle
0.61	0.33	0.36	0.28	0.28	Low
0.255	0.75	0.35	0.72	0.25	Low
0.33	0.34	0.1	0.49	0.12	Low
0.72	0.32	0.48	0.2	0.6	Middle
0.288	0.31	0.79	0.23	0.24	Low
0.9	0.31	0.24	0.3	0.97	High
0.33	0.04	0.5	0.55	0.1	Low
0.251	0.265	0.57	0.6	0.09	Low
0.8	0.24	0.23	0.29	0.98	High
0.265	0.76	0.8	0.28	0.28	Low
0.8	0.29	0.06	0.31	0.51	Middle
0.2	0.2	0.68	0.67	0.85	High
0.305	0.255	0.63	0.4	0.54	Middle
0.245	0.1	0.71	0.26	0.2	Low
0.33	0.27	0.2	0.33	0.1	Very_Low
0.68	0.27	0.78	0.31	0.57	Middle
0.41	0.18	0.33	0.31	0.5	Middle
0.14	0.14	0.7	0.5	0.3	Low
0.68	0.15	0.58	0.35	0.6	Middle
0.09	0.38	0.54	0.69	0.21	Low
0.22	0.48	0.47	0.78	0.81	High
0.31	0.1	0.41	0.42	0.75	High
0.68	0.43	0.6	0.47	0.55	Middle
0.38	0.39	0.79	0.33	0.3	Low
0.2	0.29	0.25	0.49	0.56	Middle
0.385	0.26	0.76	0.84	0.3	Middle
0.08	0.58	0.6	0.64	0.1	Low
0.29	0.25	0.29	0.29	0.57	Middle
0.37	0.6	0.77	0.4	0.5	Middle
0.09	0.51	0.02	0.18	0.67	Middle
0.25	0.0	0.1	0.12	0.37	Low
0.33	0.2	0.64	0.59	0.94	High
0.52	0.288	0.32	0.5	0.3	Low
0.61	0.258	0.56	0.62	0.24	Low
0.9	0.78	0.62	0.32	0.89	High
0.12	0.28	0.2	0.78	0.2	Low
0.22	0.22	0.9	0.3	0.9	High
0.28	0.16	0.41	0.51	0.56	Middle
0.13	0.4	0.17	0.25	0.38	Low
0.295	0.2	0.86	0.44	0.28	Low
0.46	0.78	0.38	0.24	0.89	High
0.258	0.31	0.88	0.4	0.3	Low
0.26	0.12	0.34	0.68	0.29	Low
0.12	0.62	0.21	0.3	0.59	Middle
0.08	0.325	0.62	0.94	0.56	Middle
0.56	0.35	0.1	0.62	0.23	Low
0.87	0.23	0.25	0.85	0.8	High
0.45	0.299	0.63	0.36	0.51	Middle
0.42	0.36	0.63	0.04	0.25	Low
0.3	0.85	0.54	0.25	0.83	High
0.44	0.08	0.8	0.22	0.56	Middle
0.315	0.32	0.29	0.29	0.62	Middle
0.14	0.38	0.59	0.11	0.32	Low
0.32	0.12	0.79	0.76	0.24	Low
0.3	0.2	0.52	0.3	0.53	Middle
0.32	0.28	0.72	0.89	0.58	High
0.77	0.267	0.59	0.78	0.28	Low
0.2	0.25	0.7	0.25	0.03	Very_Low
0.32	0.27	0.52	0.81	0.3	Low
0.28	0.29	0.19	0.37	0.58	Middle
0.29	0.66	0.35	0.28	0.31	Low
0.15	0.32	0.05	0.27	0.29	Low
0.08	0.18	0.63	0.6	0.85	High
0.44	0.32	0.55	0.33	0.52	Middle
0.445	0.7	0.82	0.16	0.64	Middle
0.115	0.35	0.65	0.27	0.04	Very_Low
0.275	0.1	0.72	0.1	0.3	Low
0.285	0.64	0.18	0.61	0.45	Middle
