age,workclass,education,education-num,marital-status,occupation,relationship,race,sex,hours-per-week,predicted_income
10,4,15,9,0,1,4,4,1,42,<=50K
10,4,9,12,4,10,1,4,1,38,<=50K
8,4,7,11,2,12,0,4,0,38,<=50K
29,4,4,2,2,14,0,0,0,38,<=50K
28,4,1,6,0,14,1,4,0,68,<=50K
12,4,9,12,2,10,3,4,0,67,<=50K
25,2,11,8,5,8,1,2,1,58,<=50K
17,4,15,9,0,1,1,4,1,48,<=50K
43,2,8,10,0,10,4,4,0,38,<=50K
2,4,15,9,4,1,3,4,1,38,<=50K
4,4,7,11,4,1,3,4,1,7,<=50K
14,4,12,13,4,10,1,4,1,44,<=50K
36,4,12,13,2,4,0,4,0,43,>50K
18,0,11,8,2,0,2,4,1,24,<=50K
34,2,12,13,0,4,1,4,1,38,>50K
14,1,9,12,0,11,1,4,0,48,<=50K
20,4,15,9,2,3,0,4,0,50,<=50K
12,4,10,15,2,10,0,1,0,58,<=50K
51,0,11,8,2,0,0,4,0,14,<=50K
7,4,11,8,2,3,0,4,0,38,<=50K
29,4,1,6,5,7,1,4,1,38,<=50K
36,4,15,9,2,3,0,2,0,38,<=50K
37,4,15,9,2,10,0,4,0,38,<=50K
4,4,15,9,4,3,1,4,0,53,<=50K
39,4,10,15,2,10,0,4,0,48,>50K
18,6,14,14,2,10,0,4,0,62,>50K
29,4,15,9,2,1,0,4,0,38,<=50K
19,6,15,9,0,12,4,4,1,33,<=50K
3,4,15,9,4,5,3,4,1,38,<=50K
12,4,11,8,4,6,1,4,0,38,<=50K
20,4,15,9,0,13,1,0,1,38,<=50K
0,4,1,6,4,6,3,4,0,15,<=50K
15,4,11,8,0,7,1,4,1,36,<=50K
6,4,11,8,4,4,1,4,0,38,<=50K
28,5,12,13,0,12,4,4,1,40,>50K
9,4,11,8,4,7,1,4,0,38,<=50K
14,4,11,8,0,8,4,4,1,79,<=50K
62,4,15,9,2,10,2,4,0,19,<=50K
32,4,11,8,0,8,1,4,1,38,<=50K
25,4,9,12,2,12,0,4,0,38,>50K
50,4,12,13,2,12,0,4,0,28,<=50K
18,4,10,15,2,4,0,4,0,43,>50K
27,4,9,12,0,4,4,4,0,48,<=50K
14,4,11,8,2,6,0,4,0,38,<=50K
20,2,9,12,0,10,4,4,1,53,<=50K
5,7,7,11,4,1,1,4,0,38,<=50K
17,4,15,9,2,7,0,4,0,38,<=50K
28,4,11,8,0,14,1,4,0,38,<=50K
34,4,11,8,2,7,0,2,0,38,<=50K
11,4,1,6,2,1,5,4,1,38,<=50K
21,4,8,10,0,1,4,2,1,38,<=50K
23,4,0,5,0,7,4,4,1,38,<=50K
33,4,15,9,2,13,0,4,0,58,<=50K
16,4,5,3,0,6,3,4,0,38,<=50K
32,4,9,12,2,4,0,4,0,38,<=50K
27,4,7,11,0,7,3,4,1,43,<=50K
6,4,11,8,2,8,0,4,0,48,<=50K
3,4,11,8,4,6,3,4,0,38,<=50K
15,4,11,8,3,8,4,4,1,19,<=50K
47,4,3,1,0,9,1,4,1,11,<=50K
11,4,9,12,2,10,0,4,0,38,<=50K
30,2,1,6,2,14,0,4,0,38,<=50K
20,4,15,9,0,1,1,4,1,38,<=50K
30,5,11,8,2,7,0,4,0,46,<=50K
42,0,0,5,0,0,1,4,1,38,<=50K
5,4,15,9,4,10,4,4,1,19,<=50K
30,4,0,5,2,7,0,4,0,38,<=50K
9,4,8,10,4,13,3,4,0,38,<=50K
27,4,8,10,2,10,0,4,0,48,<=50K
16,4,11,8,4,7,3,4,1,38,<=50K
29,4,15,9,0,1,4,4,1,38,<=50K
33,4,9,12,2,3,0,4,0,38,<=50K
27,4,14,14,2,10,0,4,0,48,>50K
4,4,11,8,4,7,3,4,0,38,<=50K
16,4,15,9,0,6,3,4,0,38,<=50K
11,4,15,9,4,14,1,4,0,48,<=50K
12,4,9,12,2,4,0,4,0,48,<=50K
24,2,11,8,2,14,0,2,0,38,<=50K
2,4,0,5,4,8,1,4,1,38,<=50K
45,4,9,12,2,12,0,4,0,19,<=50K
33,4,11,8,2,7,0,4,0,43,<=50K
4,7,15,9,4,11,1,4,0,38,<=50K
43,4,11,8,2,12,0,4,0,38,<=50K
13,4,15,9,2,5,0,4,0,38,<=50K
30,4,11,8,2,12,0,4,0,48,<=50K
35,7,9,12,6,4,4,4,1,53,<=50K
19,4,14,14,4,4,1,4,0,48,<=50K
50,0,4,2,6,0,4,2,1,38,<=50K
8,4,9,12,2,4,0,4,0,38,<=50K
5,4,0,5,5,8,4,4,1,33,<=50K
32,4,6,4,5,6,3,4,0,36,<=50K
21,4,12,13,2,3,0,2,0,38,<=50K
37,6,11,8,2,12,0,2,0,38,<=50K
46,4,9,12,2,1,0,4,0,38,<=50K
50,0,5,3,6,0,1,4,1,33,<=50K
5,4,15,9,4,3,3,4,0,33,<=50K
22,1,9,12,4,1,1,4,0,43,<=50K
14,4,9,12,2,12,0,4,0,58,>50K
40,4,15,9,2,3,0,4,0,38,<=50K
5,4,9,12,4,10,3,4,0,38,<=50K
25,4,7,11,2,4,0,4,0,38,<=50K
2,4,11,8,4,8,3,4,1,19,<=50K
0,7,0,5,4,8,3,4,0,28,<=50K
11,6,15,9,2,5,0,4,0,53,<=50K
29,2,11,8,0,10,1,4,1,38,<=50K
28,4,15,9,0,3,1,4,0,54,<=50K
3,4,15,9,5,12,4,2,1,38,<=50K
15,4,11,8,4,8,3,2,1,38,<=50K
50,4,11,8,6,1,1,4,1,15,<=50K
35,4,11,8,2,14,0,0,0,38,<=50K
18,4,11,8,2,12,0,4,0,42,<=50K
26,4,11,8,0,1,4,4,1,56,<=50K
12,4,8,10,4,3,2,4,0,38,<=50K
25,4,15,9,2,10,0,4,0,38,<=50K
51,0,11,8,6,0,1,4,0,30,<=50K
