car,cylinders,displacement,horsepower,weight,acceleration,model,origin,mpg
dodge d100,8,318,150.0,3755,14.0,76,1,15.605377909591667
pontiac sunbird coupe,4,151,88.0,2740,16.0,77,1,26.560589698414624
dodge aspen,6,225,90.0,3381,18.7,80,1,22.893767062879636
toyota carina,4,97,88.0,2279,19.0,73,3,28.358841777813105
dodge colt,4,98,79.0,2255,17.7,76,1,28.78932760202948
ford fairmont (man),4,140,88.0,2720,15.4,78,1,26.92690030718098
chevrolet impala,8,350,165.0,4209,12.0,71,1,13.7667690666431
capri ii,4,140,92.0,2572,14.9,76,1,26.720772845558898
plymouth duster,6,198,95.0,2833,15.5,70,1,23.535233775551276
peugeot 504,4,120,88.0,3270,21.9,76,2,27.592919595847086
chevy s-10,4,119,82.0,2720,19.4,82,1,27.935411752713513
datsun 310,4,86,65.0,2019,16.4,80,3,29.91038529090643
datsun 310 gx,4,91,67.0,1995,16.2,82,3,29.640816737928862
ford galaxie 500,8,351,153.0,4129,13.0,72,1,14.351850487076035
volkswagen dasher,4,97,78.0,2190,14.1,77,2,28.874160431868308
plymouth fury iii,8,440,215.0,4312,8.5,70,1,8.193088997369614
buick opel isuzu deluxe,4,111,80.0,2155,14.8,77,1,28.304883198990993
audi 5000,5,131,103.0,2830,15.9,78,2,25.90388723766824
dodge diplomat,8,318,140.0,3735,13.2,78,1,16.120696563646874
amc matador,8,304,150.0,3672,11.5,73,1,16.07159141165794
amc matador (sw),8,304,150.0,4257,15.5,74,1,16.07159141165794
amc spirit dl,4,121,80.0,2670,15.0,79,1,27.971873554657943
renault 12tl,4,101,83.0,2202,15.3,76,2,28.483297247107487
amc gremlin,6,232,100.0,2634,13.0,71,1,22.1453416577913
mercedes-benz 280s,6,168,120.0,3820,16.7,76,2,23.24596607341242
volkswagen dasher,4,79,67.0,1963,15.5,74,2,30.040428311128526
audi 100ls,4,115,95.0,2694,15.0,75,2,27.398701360174968
pontiac grand prix,8,400,230.0,4278,9.5,73,1,8.75214959361901
saab 99le,4,121,110.0,2660,14.0,73,2,26.42591759249233
buick century limited,6,181,110.0,2945,16.4,82,1,23.328372189834656
ford fiesta,4,98,66.0,1800,14.4,78,1,29.459241852301247
pontiac catalina,8,455,225.0,4425,10.0,70,1,7.178255876814831
