<<<<<<< HEAD
car,cylinders,displacement,horsepower,weight,acceleration,model,origin,mpg
dodge aspen 6,6,225,110,3360,16.6,79,1,20.6
chevrolet chevelle malibu classic,6,250,100,3781,17,74,1,16
plymouth duster,6,198,95,2904,16,73,1,23
peugeot 504,4,141,71,3190,24.8,79,2,27.2
maxda rx3,3,70,90,2124,13.5,73,3,18
dodge colt,4,90,75,2125,14.5,74,1,28
ford maverick,6,200,NA,2875,17,74,1,21
ford fairmont (auto),6,200,85,2965,15.8,78,1,20.2
pontiac grand prix lj,8,400,180,4220,11.1,77,1,16
dodge coronet custom (sw),8,318,150,4457,13.5,74,1,14
datsun pl510,4,97,88,2130,14.5,71,3,27
chevrolet chevette,4,98,68,2155,16.5,78,1,30
ford fairmont 4,4,140,88,2890,17.3,79,1,22.3
chevrolet woody,4,98,60,2164,22.1,76,1,24.5
dodge charger 2.2,4,135,84,2370,13,82,1,36
ford pinto runabout,4,122,86,2226,16.5,72,1,21
chrysler lebaron salon,6,225,85,3465,16.6,81,1,17.6
buick century 350,8,350,175,4100,13,73,1,13
chevrolet caprice classic,8,400,150,4464,12,73,1,13
amc hornet,6,232,100,2901,16,74,1,19
honda accord lx,4,98,68,2135,16.6,78,3,29.5
plymouth horizon tc3,4,105,70,2150,14.9,79,1,34.5
plymouth fury gran sedan,8,318,150,4237,14.5,73,1,14
honda civic,4,120,97,2489,15,74,3,24
ford torino,8,302,140,3449,10.5,70,1,17
buick skyhawk,6,231,110,3039,15,75,1,21
ford gran torino,8,351,152,4215,12.8,76,1,14.5
chevrolet vega,4,140,90,2408,19.5,72,1,20
pontiac phoenix,4,151,90,2735,18,82,1,27
dodge colt m/m,4,98,83,2075,15.9,77,1,33.5
amc gremlin,6,232,100,2914,16,75,1,20
buick estate wagon (sw),8,350,155,4360,14.9,79,1,16.9
chevrolet impala,8,454,220,4354,9,70,1,14
chevrolet cavalier 2-door,4,112,88,2395,18,82,1,34
pontiac catalina,8,400,170,4668,11.5,75,1,16
dodge monaco (sw),8,383,180,4955,11.5,71,1,12
honda civic,4,91,67,1965,15,82,3,38
toyota corolla,4,97,75,2155,16.4,76,3,28
datsun f-10 hatchback,4,85,70,1945,16.8,77,3,33.5
chevrolet bel air,8,350,145,4440,14,75,1,15
ford mustang ii 2+2,4,140,89,2755,15.8,77,1,25.5
audi 4000,4,97,78,2188,15.8,80,2,34.3
chevrolet monte carlo landau,8,305,145,3425,13.2,78,1,19.2
fiat x1.9,4,79,67,2000,16,74,2,31
chevrolet impala,8,350,165,4274,12,72,1,13
pontiac astro,4,140,78,2592,18.5,75,1,23
plymouth satellite custom,6,225,105,3439,15.5,71,1,16
toyota celica gt liftback,4,134,95,2515,14.8,78,3,21.1
datsun 810 maxima,6,146,120,2930,13.8,81,3,24.2
toyota corona hardtop,4,113,95,2278,15.5,72,3,24
ford maverick,6,200,81,3012,17.6,76,1,24
ford gran torino,8,302,140,4141,14,74,1,16
ford f250,8,360,215,4615,14,70,1,10
plymouth sapporo,4,156,105,2745,16.7,78,1,23.2
honda accord,4,107,75,2205,14.5,82,3,36
chevrolet monza 2+2,8,262,110,3221,13.5,75,1,20
chevrolet vega,4,140,75,2542,17,74,1,25
renault 12 (sw),4,96,69,2189,18,72,2,26
vokswagen rabbit,4,89,62,1845,15.3,80,2,29.8
chrysler newport royal,8,400,190,4422,12.5,72,1,13
ford country squire (sw),8,351,142,4054,14.3,79,1,15.5
ford mustang ii,8,302,129,3169,12,75,1,13
mazda glc,4,86,65,2110,17.9,80,3,46.6
