"breedName","numDogs"
"Weimaraner","10"
"Cairn Terrier","9"
"Chesapeake Bay Retriever","9"
"Australian Cattle Dog","9"
"Australian Shepherd","9"
"Brussels Griffon","9"
"Komondor","8"
"Skye Terrier","8"
"Border Terrier","8"
"French Bulldog","8"
"Kerry Blue Terrier","7"
"Beagle","7"
"West Highland White Terrier","7"
"Golden Retriever","7"
"Samoyed","7"
"Irish Wolfhound","6"
"Chinese Crested","6"
"Collie","6"
"Australian Terrier","6"
"Basenji","6"
"Maltese","6"
"English Toy Spaniel","6"
"Pekingese","6"
"Flat-Coated Retriever","6"
"Bull Terrier","6"
"Bulldog","6"
"Bullmastiff","6"
"Affenpinscher","5"
"Scottish Deerhound","5"
"Scottish Terrier","5"
"Kuvasz","5"
"Lakeland Terrier","5"
"Basset Hound","5"
"Dalmatian","5"
"Mastiff","5"
"Mexican Hairless","5"
"Bedlington Terrier","5"
"Bichon Frise","5"
"Otterhound","5"
"Papillon","5"
"Pointer","5"
"Pomeranian","5"
"Pug","5"
"Boxer","5"
"Saint Bernard","5"
"Irish Setter","5"
"Chihuahua","4"
"Sealyham Terrier","4"
"Keeshond","4"
"Shih Tzu","4"
"Chow Chow","4"
"American Water Spaniel","4"
"Labrador Retriever","4"
"Manchester Terrier","4"
"Sussex Spaniel","4"
"Bearded Collie","4"
"English Setter","4"
"English Springer Spaniel","4"
"Welsh Terrier","4"
"Norwich Terrier","4"
"Black And Tan Coonhound","4"
"Whippet","4"
"Border Collie","4"
"Borzoi","4"
"Rhodesian Ridgeback","4"
"Gordon Setter","4"
"Saluki","4"
"Schipperke","4"
"Schnauzer","3"
"Afghan Hound","3"
"Jack Russell Terrier","3"
"Akita","3"
"Alaskan Malamute","3"
"American Staffordshire Terrier","3"
"Clumber Spaniel","3"
"Lhasa Apso","3"
"Spitz","3"
"Tibetan Terrier","3"
"English Cocker Spaniel","3"
"Vizsla","3"
"Bernese Mountain Dog","3"
"Norwegian Elkhound","3"
"Fox Terrier","3"
"Poodle","3"
"German Shorthaired Pointer","3"
"Briard","3"
"German Wirehaired Pointer","3"
"Rottweiler","3"
"Great Dane","3"
"Irish Water Spaniel","2"
"Airedale Terrier","2"
"Japanese Spaniel","2"
"Shetland Sheepdog","2"
"Chinese Shar-Pei","2"
"Cocker Spaniel","2"
"Curly-Coated Retriever","2"
"Doberman Pinscher","2"
"Eskimo Dog","2"
"Finnish Spitz","2"
"Yorkshire Terrier","2"
"Foxhound","2"
"Bouvier Des Flandres","2"
"German Shepherd","2"
"Puli","2"
"Brittany","2"
"Greyhound","2"
"Canaan Dog","1"
"Siberian Husky","1"
"Silky Terrier","1"
"Soft-Coated Wheaten Terrier","1"
"Dachshund","1"
"Staffordshire Bull Terrier","1"
"Newfoundland","1"
"Bloodhound","1"
"Boston Terrier","1"
